Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,872.91592,933.41846,60.50253,6.93108,14.89538,14.59538,-0.3,0,0,0.0,0.0,0.0
1,876.14812,951.83069,75.68258,8.6381,11.71351,11.69956,-0.01395,0,1,8.2813,8.23225,-0.04905
2,924.34169,952.55316,28.21148,3.05206,0.51962,2.09241,1.57279,1,2,16.15271,15.86884,-0.28387
3,709.57863,755.97234,46.39371,6.53821,12.61986,11.677,-0.94286,1,2,16.15271,15.86884,-0.28387
4,855.40003,835.46087,-19.93915,-2.33097,9.60614,8.47257,-1.13356,2,3,16.42072,17.0921,0.67138
5,641.54379,659.91357,18.36978,2.86337,27.27533,26.26501,-1.01032,2,3,16.42072,17.0921,0.67138
6,678.90437,708.94946,30.04509,4.42553,5.38482,5.90443,0.51962,2,3,25.46645,25.04237,-0.42408
7,788.01202,744.28627,-43.72575,-5.54887,7.38187,8.58187,1.2,2,3,25.46645,25.04237,-0.42408
8,736.15984,737.00505,0.84521,0.11481,14.03189,13.97406,-0.05783,3,4,24.01687,24.07862,0.06175
9,672.79324,659.98445,-12.80879,-1.90382,32.44257,35.47886,3.03629,3,4,24.01687,24.07862,0.06175
10,660.48307,624.981,-35.50206,-5.37517,11.74344,12.88336,1.13992,2,4,22.87881,22.62963,-0.24918
11,595.36516,615.66082,20.29567,3.40894,8.50908,7.11202,-1.39706,3,4,27.16947,26.22728,-0.94219
12,609.12794,575.03279,-34.09515,-5.59737,48.669,48.4418,-0.22721,3,4,27.16947,26.22728,-0.94219
13,562.61318,576.85751,14.24433,2.53182,43.8038,44.76798,0.96418,3,4,29.08144,29.44741,0.36597
14,732.91756,732.89946,-0.0181,-0.00247,10.02281,11.42746,1.40465,4,5,30.64556,30.8198,0.17424
15,610.86034,627.34707,16.48673,2.69894,50.97343,52.62026,1.64682,3,5,34.37456,34.34836,-0.02619
16,434.80393,539.34262,104.53868,24.04272,3.71667,3.95125,0.23458,3,5,26.03786,24.82036,-1.2175
17,590.88166,620.92074,30.03908,5.08377,14.88903,17.73461,2.84558,3,5,26.03786,24.82036,-1.2175
18,571.94096,606.89225,34.95128,6.11099,8.02677,6.23436,-1.79241,3,5,27.43811,25.85053,-1.58758
19,625.73418,616.46383,-9.27035,-1.48152,14.377,12.07893,-2.29808,5,6,37.42312,38.76158,1.33846
20,583.41444,639.38258,55.96814,9.5932,2.09241,4.29411,2.20171,4,5,44.1459,46.5503,2.4044
21,616.30044,591.95904,-24.3414,-3.9496,67.16766,65.88524,-1.28242,6,7,46.20195,46.08785,-0.1141
22,636.00881,611.58618,-24.42262,-3.83998,70.47913,67.44263,-3.03651,6,7,46.20195,46.08785,-0.1141
23,614.1641,520.96985,-93.19425,-15.17416,1.76349,7.32405,5.56055,5,6,45.12583,50.14399,5.01817
