Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1451.92713,1068.1427,-383.78443,-26.43276,10.04385,11.73613,1.69228,0,0,0.0,0.0,0.0
1,1337.21933,1238.07602,-99.1433,-7.41414,11.5686,9.24879,-2.31982,1,1,8.39664,8.59142,0.19478
2,666.2113,521.93148,-144.27982,-21.65677,19.89851,18.08488,-1.81363,1,1,8.39664,8.59142,0.19478
3,1266.25354,1000.57916,-265.67438,-20.98114,4.38561,3.51862,-0.867,2,2,16.29261,15.75992,-0.53269
4,1097.60498,912.57495,-185.03003,-16.85762,33.65803,36.49306,2.83504,2,2,16.29261,15.75992,-0.53269
5,888.77002,860.13613,-28.63389,-3.22174,11.64928,12.66385,1.01456,3,3,17.60905,16.6076,-1.00144
6,798.53229,749.13181,-49.40048,-6.18641,20.90937,21.43843,0.52906,3,3,17.60905,16.6076,-1.00144
7,991.72595,868.922,-122.80395,-12.38285,16.01518,17.58865,1.57347,3,3,26.62201,27.24541,0.6234
8,714.40718,562.26041,-152.14677,-21.29693,38.84712,41.94744,3.10032,3,3,26.62201,27.24541,0.6234
9,687.03849,672.27834,-14.76015,-2.14837,11.65991,11.15855,-0.50135,4,4,22.31686,22.18389,-0.13297
10,587.44495,518.48533,-68.95962,-11.73891,74.33292,70.76948,-3.56344,4,4,22.31686,22.18389,-0.13297
11,622.653,545.82334,-76.82966,-12.33908,31.78831,36.56092,4.7726,4,4,26.76816,26.40431,-0.36386
12,861.02748,825.35535,-35.67213,-4.14297,39.69662,40.58756,0.89094,4,4,32.20063,32.69557,0.49493
13,717.93367,640.90963,-77.02404,-10.72857,72.98618,71.00171,-1.98446,4,4,32.20063,32.69557,0.49493
14,641.80323,586.30896,-55.49428,-8.64662,15.25924,14.3771,-0.88214,5,5,26.87026,26.47404,-0.39621
15,559.19331,503.21703,-55.97628,-10.01018,34.78676,37.39414,2.60738,5,5,26.87026,26.47404,-0.39621
16,630.78167,535.76411,-95.01757,-15.06346,32.1955,21.89469,-10.30081,5,4,34.89985,35.07314,0.17329
17,712.14304,648.32396,-63.81907,-8.96155,37.53633,41.52775,3.99142,5,5,50.02668,51.04226,1.01558
18,719.97636,594.23862,-125.73775,-17.46415,44.47475,45.87498,1.40022,5,5,50.02668,51.04226,1.01558
