Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1082.07026,1235.07196,153.0017,14.13972,6.48693,8.50973,2.0228,0,0,0.0,0.0,0.0
1,1158.73812,1225.68837,66.95025,5.77786,2.89706,2.05738,-0.83968,1,1,5.26118,7.25992,1.99875
2,586.48745,495.79473,-90.69271,-15.46371,14.65233,7.90453,-6.7478,1,1,5.26118,7.25992,1.99875
3,887.28959,1032.0323,144.74271,16.31291,16.07788,17.40639,1.32851,2,2,7.31027,8.34758,1.03731
4,745.49582,849.74125,104.24543,13.98337,24.38764,25.59898,1.21134,2,2,7.31027,8.34758,1.03731
5,899.97585,966.92802,66.95217,7.43933,14.65505,15.63175,0.97671,3,3,17.0552,18.37377,1.31856
6,658.85351,678.14424,19.29073,2.92792,14.65369,14.97118,0.31749,3,3,17.0552,18.37377,1.31856
7,738.79094,777.01604,38.2251,5.17401,6.92684,6.13647,-0.79037,3,3,20.32535,20.60737,0.28202
8,804.92303,795.32938,-9.59365,-1.19187,14.78793,16.07056,1.28262,4,4,22.78947,23.67422,0.88475
9,802.31086,836.23083,33.91997,4.22778,34.87428,35.8765,1.00222,4,4,22.78947,23.67422,0.88475
10,535.9295,585.71853,49.78903,9.29022,18.95498,18.3725,-0.58248,4,4,22.71916,23.19224,0.47309
11,462.50635,294.30819,-168.19816,-36.36667,33.24586,34.06396,0.8181,4,4,22.71916,23.19224,0.47309
12,794.20343,782.68958,-11.51385,-1.44974,5.79547,6.30819,0.51272,4,3,23.06859,23.44177,0.37318
13,557.97533,471.76737,-86.20796,-15.45014,1.93137,2.15652,0.22515,5,5,26.83282,27.57679,0.74398
14,741.124,770.02493,28.90093,3.89961,38.52267,40.7869,2.26424,5,5,26.83282,27.57679,0.74398
15,705.03666,822.54928,117.51261,16.66759,25.02332,26.86224,1.83892,5,5,38.23506,39.90172,1.66665
16,719.99323,742.72813,22.7349,3.15766,11.71672,12.38928,0.67256,5,4,25.10139,25.65837,0.55698
17,482.00663,418.32272,-63.68391,-13.21225,7.02419,5.11652,-1.90767,6,6,46.44997,46.65376,0.20378
18,750.04453,799.69376,49.64924,6.61951,11.73532,12.47906,0.74375,6,6,46.44997,46.65376,0.20378
19,572.98113,590.25319,17.27206,3.01442,10.86805,13.37358,2.50553,6,6,49.30558,50.66299,1.35741
20,691.52961,650.99931,-40.53029,-5.86096,18.5837,18.88792,0.30422,6,6,49.30558,50.66299,1.35741
21,587.23016,629.34066,42.1105,7.17104,13.98082,24.3648,10.38398,6,4,29.05719,28.6027,-0.45449
22,680.11679,726.85166,46.73487,6.87159,29.11025,27.9644,-1.14585,6,7,50.66281,51.46326,0.80046
23,562.47289,526.0413,-36.43159,-6.47704,6.56539,5.02647,-1.53892,7,5,32.76584,32.53056,-0.23528
24,549.24825,540.11072,-9.13752,-1.66364,16.54515,11.96517,-4.57998,7,5,32.76584,32.53056,-0.23528
