Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1032.6108,1049.13548,16.52468,1.60028,12.91672,11.69676,-1.21996,0,0,0.0,0.0,0.0
1,1015.29434,986.34285,-28.95149,-2.85154,9.13244,11.37659,2.24415,1,1,9.89545,9.47418,-0.42128
2,590.4514,607.29844,16.84704,2.85325,60.30908,59.37319,-0.9359,1,1,9.89545,9.47418,-0.42128
3,914.54479,793.62377,-120.92102,-13.22199,3.04415,0.56569,-2.47846,2,2,17.55449,19.17081,1.61632
4,734.39611,712.09198,-22.30414,-3.03707,13.19942,15.0422,1.84279,2,2,17.55449,19.17081,1.61632
5,873.54577,884.01613,10.47036,1.1986,7.49253,8.35103,0.85851,3,3,20.18316,19.68146,-0.5017
6,748.88512,815.86751,66.98239,8.94428,21.18764,20.48635,-0.70129,3,3,20.18316,19.68146,-0.5017
7,524.26408,586.4364,62.17233,11.85897,5.81407,2.62419,-3.18988,3,3,22.55305,22.92597,0.37292
8,711.68278,703.7899,-7.89288,-1.10904,22.48771,22.61348,0.12577,3,3,22.55305,22.92597,0.37292
9,825.92953,860.05617,34.12665,4.13191,12.83661,13.37387,0.53726,4,4,22.58495,22.83506,0.25011
10,736.07366,670.26757,-65.8061,-8.94015,31.83014,32.77616,0.94602,4,4,22.514,22.83506,0.32107
11,490.37388,490.13487,-0.23901,-0.04874,5.5412,4.91701,-0.62419,4,4,26.83878,24.97679,-1.86199
12,793.87236,802.55318,8.68082,1.09348,10.35951,11.72519,1.36569,5,5,24.94795,24.59268,-0.35526
13,716.40189,713.63539,-2.7665,-0.38617,11.23661,11.26669,0.03008,5,5,24.94795,24.59268,-0.35526
14,831.47574,840.46881,8.99307,1.08158,1.13137,3.35556,2.22419,5,4,37.42726,34.84595,-2.58132
15,549.36506,521.30252,-28.06254,-5.10818,18.96209,19.46216,0.50007,6,6,24.3836,23.04083,-1.34277
16,601.94812,707.76013,105.81201,17.57826,24.4661,24.30042,-0.16569,6,6,24.3836,23.04083,-1.34277
17,611.29427,620.02837,8.7341,1.42879,14.65369,12.72096,-1.93273,6,6,29.21917,29.02964,-0.18953
18,732.54026,781.25023,48.70997,6.64946,24.86639,26.90495,2.03855,5,5,38.32284,37.76347,-0.55936
19,587.79585,621.6498,33.85395,5.75947,12.30236,15.86216,3.5598,7,6,37.45077,35.41977,-2.031
20,759.21147,606.91177,-152.2997,-20.06025,4.95556,7.07257,2.11701,7,7,31.57214,30.19669,-1.37545
21,670.04142,571.07612,-98.9653,-14.77003,32.39611,35.86187,3.46575,6,6,54.988,56.1327,1.1447
22,652.496,625.72274,-26.77326,-4.10321,37.10013,38.8956,1.79547,6,6,54.988,56.1327,1.1447
23,573.83319,527.76083,-46.07236,-8.02888,19.35663,18.59518,-0.76145,8,7,43.66601,42.37924,-1.28676
24,600.41498,605.95302,5.53804,0.92237,21.60925,21.48923,-0.12002,8,7,43.66601,42.37924,-1.28676
25,650.44203,557.97533,-92.46671,-14.21598,4.44838,7.47257,3.02419,8,8,48.61934,45.57192,-3.04742
