Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1029.08433,1451.92713,422.8428,41.08923,9.17115,10.04385,0.8727,0,0,0.0,0.0,0.0
1,1050.61906,1337.21933,286.60027,27.27918,12.02453,11.5686,-0.45593,1,1,7.52622,8.39664,0.87042
2,631.86694,666.2113,34.34437,5.43538,17.58815,19.89851,2.31035,1,1,7.52622,8.39664,0.87042
3,1077.41378,1266.25354,188.83976,17.52713,4.08836,4.38561,0.29726,2,2,16.28454,16.29261,0.00806
4,1025.00133,1097.60498,72.60364,7.08327,34.35432,33.65803,-0.69629,2,2,16.28454,16.29261,0.00806
5,1003.75976,888.77002,-114.98974,-11.4559,11.34338,11.64928,0.30591,3,3,17.74852,17.60905,-0.13948
6,810.11811,798.53229,-11.58582,-1.43014,20.9807,20.90937,-0.07134,3,3,17.74852,17.60905,-0.13948
7,1001.12153,991.72595,-9.39558,-0.93851,15.71224,16.01518,0.30294,3,3,27.91522,26.62201,-1.29321
8,770.5414,687.03849,-83.50291,-10.83691,12.13144,11.65991,-0.47153,4,4,21.2466,22.31686,1.07026
9,683.12731,677.0913,-6.03601,-0.88358,15.24837,14.4282,-0.82017,4,4,27.03588,26.76816,-0.26772
10,582.52845,622.653,40.12455,6.888,32.18698,31.78831,-0.39867,4,4,27.03588,26.76816,-0.26772
11,968.17093,848.8415,-119.32943,-12.32524,39.24886,35.58186,-3.66699,4,4,32.99577,32.20063,-0.79514
12,767.0736,717.93367,-49.13993,-6.40616,70.18275,72.98618,2.80343,4,4,32.99577,32.20063,-0.79514
13,688.67246,641.80323,-46.86922,-6.80573,14.25394,15.25924,1.0053,5,5,26.58096,26.87026,0.2893
14,760.54304,507.85083,-252.69221,-33.22523,16.78313,27.89282,11.10969,4,5,33.91489,33.35135,-0.56354
15,499.50247,653.28043,153.77796,30.78623,7.18113,7.13824,-0.04289,5,5,35.53122,34.89985,-0.63137
16,704.82353,630.78167,-74.04186,-10.50502,31.27645,32.1955,0.91905,5,5,35.53122,34.89985,-0.63137
17,953.44845,973.70944,20.26099,2.12502,2.3714,4.11475,1.74336,5,4,50.75119,47.90178,-2.84941
18,774.57756,712.14304,-62.43452,-8.06046,32.50513,37.53633,5.0312,5,5,51.31297,50.02668,-1.28629
