Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1425.93603,1470.31492,44.37889,3.11226,12.69389,13.51351,0.81962,0,0,0.0,0.0,0.0
1,1319.99612,1251.97757,-68.01856,-5.15294,16.19934,15.52655,-0.67279,1,1,9.69794,10.61932,0.92138
2,924.25813,892.70543,-31.5527,-3.41384,25.20548,26.03269,0.82721,1,1,9.69794,10.61932,0.92138
3,1132.16212,1325.28913,193.12701,17.05825,5.79513,5.53164,-0.26349,1,2,20.26944,20.59976,0.33032
4,610.35595,624.9886,14.63265,2.3974,12.45274,13.08165,0.62891,2,2,22.30112,22.34748,0.04636
5,706.74071,665.06634,-41.67437,-5.8967,20.68416,20.93269,0.24853,2,2,22.30112,22.34748,0.04636
6,1039.53938,1058.51601,18.97663,1.82548,9.67893,9.57598,-0.10294,2,3,21.62707,22.15333,0.52626
7,606.23019,529.6132,-76.61699,-12.63827,17.28041,18.38608,1.10567,2,3,17.32224,18.07236,0.75011
8,651.2805,605.67054,-45.60996,-7.00312,19.59346,18.3422,-1.25125,3,3,29.91137,30.75256,0.84119
9,621.87039,611.94788,-9.92251,-1.59559,25.16058,23.38314,-1.77744,3,3,29.91137,30.75256,0.84119
10,788.1966,780.61082,-7.58578,-0.96242,10.0753,10.34639,0.27109,3,4,19.859,20.245,0.386
11,734.47925,714.04286,-20.4364,-2.78243,47.93569,47.32708,-0.60861,3,4,19.859,20.245,0.386
12,545.99615,474.41719,-71.57896,-13.10979,22.94595,24.16727,1.22132,4,4,26.01019,28.09609,2.08589
13,526.01675,533.94073,7.92397,1.50641,29.52193,28.86535,-0.65659,4,4,26.01019,28.09609,2.08589
14,409.80764,450.00002,40.19238,9.80762,0.42426,0.51962,0.09535,4,4,28.59615,30.29555,1.69939
15,608.29642,577.60334,-30.69308,-5.04574,79.05341,83.35308,4.29967,4,4,28.59615,30.29555,1.69939
16,725.39668,661.25996,-64.13672,-8.84161,34.23849,33.89585,-0.34264,4,4,24.28518,24.61829,0.33311
17,473.93068,462.69024,-11.24044,-2.37175,19.31602,19.81431,0.49829,4,5,41.06605,40.37537,-0.69068
18,747.12093,700.05265,-47.06828,-6.29996,9.62212,10.69786,1.07574,5,5,42.18068,40.9728,-1.20789
19,612.12632,561.11134,-51.01499,-8.33406,63.03286,67.65487,4.62201,5,5,42.18068,40.9728,-1.20789
20,609.65037,549.45218,-60.19819,-9.87422,4.7194,5.0194,0.3,6,6,42.88636,42.14226,-0.7441
