Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1154.03556,1278.61218,124.57662,10.79487,11.06204,10.38603,-0.67601,0,0,0.0,0.0,0.0
1,1236.93174,1252.04837,15.11663,1.22211,0.42426,0.52326,0.09899,1,1,9.7765,9.14581,-0.63069
2,1040.88879,1119.33554,78.44675,7.53652,12.47428,11.53168,-0.94259,1,1,9.7765,9.14581,-0.63069
3,669.69037,777.54776,107.85739,16.10556,34.10006,34.96478,0.86473,2,1,9.59062,8.94911,-0.64151
4,846.01826,874.28194,28.26368,3.34079,11.47995,11.94797,0.46802,2,2,20.86025,19.44877,-1.41148
5,845.72556,911.35671,65.63115,7.76034,20.32531,20.08617,-0.23915,2,2,20.86025,19.44877,-1.41148
6,591.74431,611.34191,19.5976,3.31184,21.59051,20.47463,-1.11589,3,2,21.55621,21.20329,-0.35291
7,661.07499,725.99735,64.92236,9.82073,49.37173,47.90515,-1.46658,3,2,21.55621,21.20329,-0.35291
8,752.73752,787.76804,35.03052,4.65375,14.14242,14.25649,0.11406,3,3,23.73226,22.87127,-0.86099
9,593.29829,682.36035,89.06207,15.01135,39.94666,30.5635,-9.38317,3,3,23.73226,22.87127,-0.86099
10,772.74435,843.55758,70.81323,9.16386,30.84006,34.03739,3.19733,3,3,24.9902,23.89581,-1.09439
11,625.13083,668.96561,43.83477,7.0121,52.19782,49.12464,-3.07317,3,3,24.9902,23.89581,-1.09439
12,560.40122,530.86775,-29.53348,-5.27006,6.58482,5.26041,-1.3244,4,3,41.07372,40.33339,-0.74032
13,613.68071,704.58373,90.90302,14.81276,13.82848,14.92364,1.09516,4,3,41.07372,40.33339,-0.74032
14,768.56089,776.56829,8.0074,1.04187,15.83393,15.06096,-0.77297,4,4,27.02832,26.90844,-0.11988
15,603.37045,650.09355,46.7231,7.74368,40.56061,32.06854,-8.49207,4,4,27.02832,26.90844,-0.11988
16,793.2149,794.1109,0.896,0.11296,57.7391,52.26447,-5.47463,4,3,42.28404,41.59333,-0.69071
17,756.60463,787.03201,30.42738,4.02157,25.34471,25.91612,0.57141,5,5,33.67091,32.62301,-1.0479
18,615.37206,654.27198,38.89992,6.32137,32.66854,33.66865,1.00011,5,5,33.67091,32.62301,-1.0479
19,538.29981,658.92785,120.62804,22.40908,4.82869,4.26801,-0.56068,5,4,57.15453,56.02905,-1.12548
20,652.2081,690.6892,38.4811,5.90013,24.21772,23.1825,-1.03522,5,4,57.15453,56.02905,-1.12548
21,633.6251,570.12784,-63.49726,-10.02127,12.81261,13.99724,1.18463,6,6,38.38476,36.63561,-1.74916
22,467.24497,688.9549,221.70994,47.45047,16.68903,3.74475,-12.94427,5,6,39.10831,39.29149,0.18318
23,570.01698,879.9892,309.97222,54.37947,0.84853,0.89326,0.04473,6,5,72.14735,70.95516,-1.19219
24,525.09709,554.70272,29.60562,5.63812,14.25909,9.61037,-4.64873,6,6,72.52434,71.19496,-1.32938
