Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1074.84957,1304.29212,229.44255,21.34648,15.88438,18.81794,2.93356,0,0,0.0,0.0,0.0
1,716.57262,683.28528,-33.28734,-4.64535,12.19662,14.65445,2.45783,1,1,10.90367,12.34747,1.4438
2,1206.70344,1067.96271,-138.74072,-11.4975,28.97341,29.69132,0.71791,1,1,10.90367,12.34747,1.4438
3,982.56626,816.42392,-166.14234,-16.90902,11.28925,11.30421,0.01497,2,2,26.28555,26.19809,-0.08746
4,914.65321,873.23694,-41.41627,-4.52808,18.20399,16.57112,-1.63288,2,2,26.28555,26.19809,-0.08746
5,840.53353,761.53671,-78.99682,-9.39841,13.47802,11.99956,-1.47846,3,3,23.72467,23.64297,-0.0817
6,723.99724,685.3032,-38.69403,-5.3445,16.52928,17.37679,0.84751,3,3,23.72467,23.64297,-0.0817
7,801.94579,726.93224,-75.01355,-9.35394,22.76919,22.0599,-0.7093,3,3,18.30983,18.99974,0.6899
8,740.24273,653.82421,-86.41851,-11.67435,92.01861,89.8456,-2.17301,3,3,18.30983,18.99974,0.6899
9,576.3172,674.13324,97.81605,16.97261,3.32234,2.72132,-0.60102,4,3,23.265,23.37114,0.10614
10,712.57377,641.19221,-71.38157,-10.01743,34.23315,31.1903,-3.04286,4,3,30.56027,31.27203,0.71176
11,661.62818,622.55332,-39.07486,-5.90586,16.00864,17.50105,1.49241,4,3,52.82897,52.75481,-0.07416
12,551.69238,641.72547,90.03308,16.31944,17.76374,43.4427,25.67896,5,3,24.75682,24.89277,0.13595
