Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1125.75849,1382.00262,256.24413,22.76191,10.97683,19.56578,8.58895,0,0,0.0,0.0,0.0
1,1112.93798,1136.91169,23.97371,2.15409,19.36768,16.08143,-3.28625,1,1,7.61196,14.33736,6.72541
2,1176.85528,1197.26737,20.41209,1.73446,4.73929,4.59411,-0.14518,2,2,20.18863,23.25339,3.06476
3,606.25872,736.74117,130.48245,21.52257,44.71607,69.90577,25.1897,2,2,20.18863,23.25339,3.06476
4,965.28384,1045.52092,80.23708,8.31228,3.63338,9.87598,6.24261,2,3,21.23314,24.16444,2.9313
5,757.86342,828.09235,70.22893,9.2667,72.0192,45.21481,-26.80439,2,4,23.11204,22.52199,-0.59005
6,585.95532,848.52817,262.57285,44.81107,33.77531,8.56033,-25.21498,3,5,48.88126,44.02954,-4.85172
