Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1403.60267,1350.71773,-52.88493,-3.7678,10.27236,10.57134,0.29898,0,0,0.0,0.0,0.0
1,1202.08753,1178.1564,-23.93113,-1.9908,11.78754,12.78925,1.00171,1,1,8.88932,9.18314,0.29382
2,787.8651,923.53201,135.66691,17.21956,18.83393,18.91329,0.07936,1,1,8.88932,9.18314,0.29382
3,656.935,614.53257,-42.40244,-6.45459,7.74072,8.53142,0.7907,2,2,13.29173,13.76408,0.47236
4,986.84379,915.96817,-70.87563,-7.18205,20.86727,20.07657,-0.7907,2,2,13.29173,13.76408,0.47236
5,613.86,622.29905,8.43905,1.37475,26.45775,24.21217,-2.24558,2,2,17.77358,17.50828,-0.26529
6,977.57431,885.17353,-92.40078,-9.45205,7.08946,7.88017,0.7907,3,3,30.09136,29.66968,-0.42168
7,544.23564,589.29855,45.0629,8.28004,16.30229,18.17508,1.87279,2,3,28.52052,27.71877,-0.80175
8,841.6619,756.21095,-85.45096,-10.15265,10.64413,9.86204,-0.78209,4,4,33.69362,33.11707,-0.57655
9,571.17752,608.82162,37.64411,6.59061,7.41838,7.66055,0.24217,3,4,35.7919,35.73528,-0.05662
10,547.25972,540.76361,-6.49611,-1.18703,27.27657,30.50889,3.23232,3,4,35.7919,35.73528,-0.05662
11,646.62696,596.87786,-49.7491,-7.69363,14.46374,13.71816,-0.74558,5,5,32.08878,31.59842,-0.49037
12,401.28244,465.87366,64.59122,16.0962,4.16349,4.36055,0.19706,6,6,31.32092,31.44853,0.12761
13,624.14692,608.19329,-15.95362,-2.55607,20.8599,20.59516,-0.26473,6,6,31.32092,31.44853,0.12761
14,499.75663,498.53227,-1.22436,-0.24499,3.24094,4.68946,1.44853,7,7,32.80168,33.20121,0.39953
15,498.76573,517.33871,18.57297,3.72379,7.99684,9.35761,1.36077,7,7,32.80168,33.20121,0.39953
