Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,968.65769,895.92875,-72.72894,-7.50822,25.92317,27.56876,1.64558,0,0,0.0,0.0,0.0
1,723.60106,703.36051,-20.24055,-2.7972,13.85717,13.45547,-0.40171,1,1,18.55883,19.14837,0.58954
2,875.435,869.93029,-5.50471,-0.6288,22.87192,21.62702,-1.2449,1,1,18.55883,19.14837,0.58954
3,631.19607,642.04063,10.84455,1.7181,24.72215,25.31456,0.59241,2,2,25.94783,25.94783,-0.0
4,692.81262,651.43283,-41.37978,-5.97272,44.39723,44.52252,0.12528,2,2,25.94783,25.94783,-0.0
5,845.20072,818.93688,-26.26384,-3.10741,2.61202,2.70737,0.09535,2,2,29.95947,29.73483,-0.22464
6,654.33487,673.41112,19.07625,2.91536,9.00716,7.72575,-1.2814,2,2,29.95947,29.73483,-0.22464
7,545.0367,582.12101,37.08431,6.804,12.66374,13.86476,1.20102,2,3,34.39157,34.65877,0.2672
8,464.66383,515.8572,51.19337,11.01729,10.74072,7.58754,-3.15318,3,3,46.95072,47.29546,0.34474
9,756.72315,711.21901,-45.50414,-6.01331,30.8581,30.14983,-0.70828,3,3,46.95072,47.29546,0.34474
10,667.98827,677.84525,9.85698,1.47562,14.51623,13.41918,-1.09706,3,3,29.57093,29.5222,-0.04874
11,782.27182,749.71639,-32.55544,-4.16165,32.08906,32.72658,0.63753,3,3,29.57093,29.5222,-0.04874
12,577.77517,589.37904,11.60387,2.00837,14.73585,13.52848,-1.20737,3,3,34.61849,33.53029,-1.08821
13,630.474,613.56339,-16.91061,-2.68221,26.0624,27.33417,1.27177,3,3,34.61849,33.53029,-1.08821
14,601.73994,630.91484,29.1749,4.84842,29.71264,29.1717,-0.54094,4,4,54.39605,54.43905,0.043
15,630.06458,621.43161,-8.63297,-1.37017,47.93181,42.79553,-5.13629,4,4,54.39605,54.43905,0.043
16,646.36622,664.02502,17.6588,2.73201,18.50275,18.31205,-0.1907,4,4,34.43864,34.76378,0.32513
17,737.4668,719.67599,-17.7908,-2.41242,13.11159,12.76873,-0.34286,4,4,34.09722,34.23025,0.13304
18,546.66356,581.21038,34.54682,6.31958,5.26055,5.20908,-0.05147,4,4,25.3744,24.84572,-0.52867
19,628.93845,699.33139,70.39294,11.19234,7.5211,12.84707,5.32597,4,4,25.3744,24.84572,-0.52867
20,590.60761,600.86105,10.25345,1.73608,40.44372,35.93759,-4.50614,4,4,32.74813,32.99727,0.24914
21,578.94683,629.37828,50.43145,8.71089,9.8846,12.34344,2.45885,5,5,34.28017,34.45301,0.17284
22,580.42841,581.5412,1.1128,0.19172,18.78245,16.25717,-2.52528,5,5,34.28017,34.45301,0.17284
