Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1108.40452,1110.23792,1.8334,0.16541,17.63136,11.71204,-5.91933,0,0,0.0,0.0,0.0
1,891.7808,912.72849,20.94769,2.34897,8.95674,9.87096,0.91421,1,1,12.55488,9.54921,-3.00566
2,796.30047,749.96624,-46.33423,-5.81869,25.52215,25.08829,-0.43386,1,1,12.55488,9.54921,-3.00566
3,758.33063,627.52903,-130.8016,-17.24862,4.46325,4.95692,0.49367,2,2,18.91593,17.7588,-1.15713
4,835.94836,719.05821,-116.89015,-13.98294,8.12728,9.79235,1.66506,2,2,18.91593,17.7588,-1.15713
5,741.89626,611.39983,-130.49643,-17.58958,12.03432,10.10848,-1.92584,2,2,24.61961,24.55097,-0.06864
6,578.0209,507.08027,-70.94063,-12.27302,16.1271,19.46186,3.33475,2,2,24.61961,24.55097,-0.06864
7,715.02872,648.63312,-66.3956,-9.28572,22.76156,21.57222,-1.18934,3,2,21.24412,20.48933,-0.75479
8,814.33193,708.33069,-106.00124,-13.01696,23.42577,21.6686,-1.75718,3,3,22.51944,21.67083,-0.8486
9,491.42435,469.66216,-21.76219,-4.42839,76.37766,72.3375,-4.04016,3,3,22.51944,21.67083,-0.8486
10,510.36198,517.98162,7.61964,1.49299,36.17371,33.03444,-3.13927,3,3,29.41726,28.15138,-1.26588
11,588.55345,574.50187,-14.05158,-2.38748,25.77385,24.01771,-1.75614,4,3,33.79164,31.53867,-2.25297
12,628.49133,588.45278,-40.03855,-6.37058,25.45431,25.63733,0.18301,4,3,33.79164,31.53867,-2.25297
13,702.05332,694.13258,-7.92075,-1.12823,15.46186,16.66896,1.20711,4,4,37.31119,35.44009,-1.8711
14,688.82482,657.18603,-31.6388,-4.59316,116.6315,114.89756,-1.73393,4,4,37.31119,35.44009,-1.8711
15,581.03418,420.54545,-160.48872,-27.62122,12.1818,7.93898,-4.24282,5,4,36.71257,34.93029,-1.78228
16,538.77196,525.54069,-13.23127,-2.45582,95.04644,91.2867,-3.75974,5,4,32.05757,29.8182,-2.23937
17,694.34386,651.18502,-43.15884,-6.21577,17.96186,16.66981,-1.29204,5,5,37.53498,35.63881,-1.89617
18,518.8892,477.71411,-41.1751,-7.93524,30.33281,30.3569,0.02409,5,5,37.53498,35.63881,-1.89617
19,657.38954,759.78351,102.39397,15.57584,1.99367,2.17669,0.18301,5,5,78.3426,76.63917,-1.70343
20,593.97752,530.55052,-63.427,-10.67835,69.5805,71.50701,1.9265,6,6,49.57444,47.45919,-2.11525
21,547.44944,505.60233,-41.84711,-7.64401,95.30002,100.91568,5.61566,6,6,49.57444,47.45919,-2.11525
22,561.00417,580.5676,19.56343,3.48722,5.65156,5.26144,-0.39012,5,6,78.63523,76.6567,-1.97853
23,551.61132,518.29873,-33.31259,-6.03914,30.13903,33.8774,3.73838,7,7,54.41163,52.34979,-2.06184
24,461.58932,468.18926,6.59994,1.42983,31.64432,39.52793,7.88361,7,7,54.41163,52.34979,-2.06184
