Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1470.31492,1367.64348,-102.67144,-6.98296,13.51351,12.59854,-0.91497,0,0,0.0,0.0,0.0
1,1251.97757,1150.55814,-101.41943,-8.10074,15.52655,15.89934,0.37279,1,1,10.61932,10.52141,-0.09792
2,892.70543,826.25855,-66.44688,-7.44332,26.03269,25.04595,-0.98674,1,1,10.61932,10.52141,-0.09792
3,655.39401,587.6647,-67.72931,-10.33414,4.83629,3.21202,-1.62426,2,2,20.59976,20.5604,-0.03936
4,1325.28913,1138.18549,-187.10365,-14.11795,5.53164,6.32869,0.79706,2,2,20.59976,20.5604,-0.03936
5,624.9886,618.23466,-6.75393,-1.08065,13.08165,13.12553,0.04388,2,2,22.34748,21.88356,-0.46393
6,665.06634,664.45848,-0.60786,-0.0914,20.93269,21.9709,1.03821,2,2,22.34748,21.88356,-0.46393
7,1058.51601,927.36685,-131.14916,-12.38991,9.57598,9.97995,0.40396,3,3,22.15333,22.42588,0.27255
8,403.66213,419.06464,15.40251,3.81569,5.64094,4.71202,-0.92891,3,3,18.07236,18.57337,0.50101
9,529.6132,563.89302,34.27982,6.47261,18.38608,17.61035,-0.77574,3,3,18.07236,18.57337,0.50101
10,605.67054,611.39441,5.72387,0.94505,18.3422,17.77112,-0.57109,3,3,30.75256,30.53523,-0.21734
11,611.94788,610.65135,-1.29653,-0.21187,23.38314,24.2819,0.89876,3,3,30.75256,30.53523,-0.21734
12,767.17433,763.39746,-3.77687,-0.49231,11.54639,9.80421,-1.74217,4,4,20.245,20.16482,-0.08018
13,474.41719,477.65188,3.23469,0.68182,24.16727,24.5616,0.39433,4,4,28.09609,28.77655,0.68047
14,533.94073,539.81041,5.86969,1.09931,28.86535,29.09891,0.23356,4,4,28.09609,28.77655,0.68047
15,450.00002,450.00002,0.0,0.0,0.51962,0.51962,0.0,4,4,30.29555,30.91165,0.6161
