Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1034.38984,799.90095,-234.48889,-22.6693,14.9855,8.56825,-6.41725,0,0,0.0,0.0,0.0
1,1114.42872,855.28641,-259.14231,-23.25338,2.82916,3.61204,0.78289,1,1,11.6992,7.18297,-4.51623
2,1028.35828,862.04187,-166.31641,-16.173,8.73578,12.21655,3.48077,1,2,14.19211,9.91046,-4.28165
3,906.8112,760.74524,-146.06597,-16.10765,5.18251,4.28035,-0.90216,2,3,21.68233,20.21354,-1.46879
4,758.61966,650.4076,-108.21206,-14.26434,10.14608,9.46957,-0.67651,2,3,21.68233,20.21354,-1.46879
5,884.54942,781.10064,-103.44879,-11.69508,14.03256,15.9455,1.91295,3,4,24.78853,22.64016,-2.14838
6,658.66928,614.22467,-44.44461,-6.74764,39.61218,39.44225,-0.16992,3,4,24.78853,22.64016,-2.14838
7,743.87006,624.76512,-119.10495,-16.01153,7.13563,7.66039,0.52476,3,4,28.79518,26.74042,-2.05477
8,674.78427,625.297,-49.48727,-7.33379,31.05769,33.64173,2.58405,3,4,28.79518,26.74042,-2.05477
9,733.96301,654.24864,-79.71437,-10.86082,15.08028,14.65248,-0.4278,4,5,31.73453,30.43396,-1.30057
10,564.30568,548.23486,-16.07082,-2.84789,20.37601,21.54782,1.17181,4,5,39.28258,37.47106,-1.81153
11,658.50965,601.16633,-57.34332,-8.70805,57.13127,52.68887,-4.4424,4,5,39.28258,37.47106,-1.81153
12,663.53822,611.10515,-52.43307,-7.90204,5.72533,5.90133,0.176,4,5,29.23431,28.36797,-0.86634
13,529.56899,502.9702,-26.59878,-5.02272,26.9229,25.76442,-1.15848,4,5,29.23431,28.36797,-0.86634
14,526.12658,510.22119,-15.90539,-3.02311,14.48193,14.73131,0.24938,4,5,41.15119,39.81285,-1.33834
15,706.55573,602.09278,-104.46295,-14.78481,39.24931,40.41465,1.16534,5,6,36.57093,35.32274,-1.24818
16,422.98543,369.13056,-53.85487,-12.73209,5.096,7.12937,2.03337,5,5,71.19455,67.57902,-3.61554
17,560.89071,560.93938,0.04867,0.00868,17.50065,19.28196,1.78131,5,6,24.84694,24.05508,-0.79186
18,548.79363,525.96542,-22.82822,-4.15971,19.64362,21.12639,1.48276,5,6,24.84694,24.05508,-0.79186
