Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1152.3181,1162.11761,9.79952,0.85042,10.57995,10.57893,-0.00102,0,0,0.0,0.0,0.0
1,1059.53912,1093.04088,33.50177,3.16192,3.04388,3.37279,0.32891,1,1,7.506,8.12773,0.62173
2,902.28727,1056.13852,153.85125,17.05125,5.52405,5.85296,0.32891,1,1,7.506,8.12773,0.62173
3,691.26037,664.10319,-27.15719,-3.92865,12.74515,12.34344,-0.40171,2,2,7.52994,8.15537,0.62543
4,908.60689,889.82683,-18.78006,-2.06691,31.55673,30.68565,-0.87109,2,2,7.52994,8.15537,0.62543
5,878.94717,1072.34675,193.39959,22.00355,14.22259,13.41794,-0.80465,2,1,11.32475,12.18606,0.86131
6,494.52285,477.93316,-16.58969,-3.35469,7.1397,8.17257,1.03288,3,3,11.03902,11.46298,0.42396
7,635.6813,590.03412,-45.64718,-7.18083,14.50864,12.35739,-2.15125,3,3,11.03902,11.46298,0.42396
8,675.62412,654.99445,-20.62967,-3.05342,8.1211,11.01159,2.89048,3,3,30.04347,30.05545,0.01198
9,845.31133,886.86759,41.55626,4.91609,5.94831,5.59048,-0.35783,3,2,21.35907,21.64163,0.28255
10,521.87886,480.67259,-41.20627,-7.89575,13.05274,14.06306,1.01032,4,4,19.3145,19.16481,-0.14969
11,547.04423,490.61554,-56.42869,-10.3152,25.61478,28.27192,2.65714,4,4,19.3145,19.16481,-0.14969
12,564.51757,545.919,-18.59857,-3.2946,46.22615,45.45698,-0.76916,4,4,28.05762,29.05202,0.9944
13,616.92867,594.47803,-22.45063,-3.6391,54.34521,54.02265,-0.32256,4,4,28.05762,29.05202,0.9944
14,677.93808,620.54833,-57.38975,-8.46534,14.91057,17.00297,2.09241,4,3,25.51588,26.12929,0.61342
15,786.39708,721.94678,-64.45031,-8.19564,16.77043,17.87918,1.10874,4,3,25.51588,26.12929,0.61342
16,466.87155,600.00002,133.12848,28.51501,4.89513,1.02426,-3.87087,5,4,42.28298,43.11868,0.8357
17,589.28256,556.19826,-33.08429,-5.61433,22.72633,26.06897,3.34264,5,4,18.45914,18.5661,0.10695
18,562.44053,554.57075,-7.86978,-1.39922,30.19596,29.36138,-0.83458,5,4,18.45914,18.5661,0.10695
19,588.337,515.95969,-72.37731,-12.30202,11.14344,11.50988,0.36644,5,4,29.85565,30.76719,0.91154
20,805.96561,769.34962,-36.61599,-4.54312,17.66817,17.41205,-0.25612,5,4,29.85565,30.76719,0.91154
21,661.63797,621.95413,-39.68384,-5.99782,24.98484,24.91841,-0.06644,6,5,26.60883,28.41303,1.80419
22,700.08794,648.35439,-51.73355,-7.38958,39.87489,40.78125,0.90635,6,5,26.60883,28.41303,1.80419
23,607.41511,553.58107,-53.83404,-8.86281,43.9139,50.13965,6.22575,7,6,34.50131,35.14741,0.6461
24,606.5875,602.03487,-4.55263,-0.75053,23.22135,22.72429,-0.49706,7,5,42.55667,44.24568,1.68901
