Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,990.49469,1278.61218,288.11749,29.08824,9.06245,10.38603,1.32358,0,0,0.0,0.0,0.0
1,998.87941,1119.33554,120.45613,12.05913,11.82254,11.53168,-0.29086,1,1,7.55778,9.14581,1.58804
2,659.46506,785.49785,126.03279,19.11137,33.13868,35.48804,2.34937,1,1,7.55778,9.14581,1.58804
3,840.63497,874.28194,33.64697,4.00257,11.46381,11.94797,0.48416,2,2,18.43041,19.44877,1.01836
4,855.14464,911.35671,56.21207,6.5734,20.62196,20.08617,-0.53579,2,2,18.43041,19.44877,1.01836
5,556.27749,611.34191,55.06443,9.89873,20.94486,20.47463,-0.47023,2,2,20.49781,21.20329,0.70549
6,666.76399,725.99735,59.23336,8.88371,46.97241,47.90515,0.93274,2,2,20.49781,21.20329,0.70549
7,826.75097,787.76804,-38.98293,-4.7152,14.13532,14.25649,0.12117,3,3,22.06898,22.87127,0.80229
8,568.05248,670.00233,101.94985,17.94726,32.3674,33.98328,1.61588,3,3,22.06898,22.87127,0.80229
9,610.33763,668.96561,58.62797,9.60583,50.11361,49.12464,-0.98897,3,3,24.6609,23.89581,-0.76509
10,545.45323,530.86775,-14.58548,-2.67401,5.4827,5.26041,-0.22228,3,3,39.7814,40.33339,0.55199
11,605.16597,704.58373,99.41776,16.42818,14.51672,14.92364,0.40692,3,3,39.7814,40.33339,0.55199
12,763.57773,776.56829,12.99055,1.70127,15.40501,15.06096,-0.34406,4,4,26.32413,26.90844,0.58431
13,598.09674,650.09355,51.9968,8.69371,39.1857,32.06854,-7.11716,4,4,26.32413,26.90844,0.58431
14,719.99291,787.03201,67.0391,9.31108,25.48182,25.91612,0.4343,5,5,33.14453,32.62301,-0.52152
15,572.33672,654.27198,81.93526,14.31592,30.26158,33.66865,3.40708,5,5,33.14453,32.62301,-0.52152
16,586.02702,570.12784,-15.89917,-2.71304,13.81514,13.99724,0.1821,6,6,37.49773,36.63561,-0.86213
17,602.95057,675.78529,72.83472,12.07972,23.55922,20.88056,-2.67866,6,6,37.49773,36.63561,-0.86213
18,497.60678,690.42941,192.82263,38.75,1.25851,0.37,-0.88851,6,6,38.83092,39.29149,0.46058
19,540.9079,689.86514,148.95723,27.53837,17.67681,17.22585,-0.45096,7,6,44.75891,42.26754,-2.49137
20,553.21915,615.45345,62.23431,11.24949,27.39324,26.56509,-0.82815,7,6,40.002,39.45318,-0.54883
21,600.81401,655.53852,54.72451,9.1084,21.50071,23.76897,2.26826,8,6,51.85981,50.58186,-1.27796
22,544.30501,569.52088,25.21586,4.63267,18.04644,13.29317,-4.75327,8,7,52.09376,50.9298,-1.16396
