Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1123.65663,1075.07018,-48.58645,-4.32396,5.94427,8.16234,2.21807,0,0,0.0,0.0,0.0
1,1191.79459,970.06838,-221.72621,-18.6044,1.06721,0.84875,-0.21846,1,1,4.71994,7.20489,2.48495
2,1048.78958,808.70133,-240.08826,-22.89194,15.21299,14.46497,-0.74802,2,1,5.52427,7.96272,2.43844
3,849.30131,791.62227,-57.67904,-6.79135,5.64015,6.21613,0.57598,3,2,18.78659,19.3583,0.57171
4,1052.40618,721.6248,-330.78138,-31.43096,10.98446,12.75858,1.77412,3,2,18.78659,19.3583,0.57171
5,709.79763,599.35071,-110.44693,-15.56034,9.45134,8.89165,-0.55969,4,3,20.88657,21.81671,0.93014
6,482.78687,496.97235,14.18548,2.93825,20.5573,22.04457,1.48727,4,3,20.88657,21.81671,0.93014
7,1034.81098,840.03841,-194.77257,-18.82204,9.07887,7.87974,-1.19913,4,3,24.92053,26.06783,1.1473
8,709.04357,628.63045,-80.41312,-11.34107,38.30759,39.53543,1.22784,4,3,24.92053,26.06783,1.1473
9,622.72939,553.61624,-69.11316,-11.09843,17.79782,18.18628,0.38846,5,4,27.16178,27.74895,0.58717
10,547.45564,519.78866,-27.66698,-5.05374,30.20114,29.66814,-0.533,5,4,27.16178,27.74895,0.58717
11,520.45654,533.78647,13.32993,2.5612,40.26071,41.27545,1.01473,4,4,29.0458,29.93447,0.88867
12,761.3133,684.82603,-76.48727,-10.04675,9.67883,10.09076,0.41193,5,4,29.15591,29.18816,0.03225
13,692.89199,679.23182,-13.66017,-1.97147,13.19417,13.2822,0.08803,5,4,29.15591,29.18816,0.03225
14,627.96831,539.23392,-88.73439,-14.13039,69.35833,71.71448,2.35615,5,4,46.97418,46.10297,-0.87121
15,648.17437,533.71521,-114.45916,-17.6587,66.86856,69.16131,2.29274,5,4,46.97418,46.10297,-0.87121
16,587.13757,549.99974,-37.13783,-6.32523,20.33969,21.14321,0.80352,5,5,31.81856,32.68775,0.86919
17,751.22669,686.44105,-64.78565,-8.62398,19.57793,20.07337,0.49544,6,5,32.61426,33.28909,0.67483
18,691.79522,619.01389,-72.78133,-10.52065,23.15896,24.61725,1.45829,6,5,29.50706,29.67321,0.16615
19,532.2019,546.84653,14.64462,2.7517,4.20181,4.02145,-0.18036,5,5,74.31121,74.54534,0.23414
20,523.61618,476.06631,-47.54987,-9.08105,16.99708,16.66084,-0.33624,6,6,40.75625,40.59139,-0.16486
21,583.32896,537.0477,-46.28126,-7.93399,17.68061,17.4995,-0.18111,6,6,40.75625,40.59139,-0.16486
22,574.86652,539.26417,-35.60235,-6.19315,50.65216,50.68952,0.03736,7,6,39.36213,38.15223,-1.20991
23,568.37091,468.15006,-100.22086,-17.633,10.69851,10.40964,-0.28887,7,6,40.69068,40.49689,-0.19379
24,608.41088,566.36724,-42.04364,-6.9104,20.57812,19.7456,-0.83252,7,6,40.69068,40.49689,-0.19379
25,487.04548,451.67759,-35.36789,-7.26172,3.62989,7.80308,4.17318,7,7,49.36424,49.7259,0.36166
26,581.64015,507.82633,-73.81383,-12.69063,9.13601,9.9199,0.78389,7,7,49.36424,49.7259,0.36166
27,528.34375,508.69912,-19.64463,-3.71815,7.5081,5.62474,-1.88335,8,8,48.19274,48.16919,-0.02355
28,452.83607,489.36546,36.52939,8.0668,7.17328,5.71894,-1.45434,8,8,48.19274,48.16919,-0.02355
