Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,990.49469,1154.03556,163.54087,16.51103,9.06245,11.06204,1.99959,0,0,0.0,0.0,0.0
1,1055.58339,1236.93174,181.34835,17.17992,0.69282,0.42426,-0.26856,1,1,7.55778,9.7765,2.21873
2,998.87941,1040.88879,42.00938,4.20565,11.82254,12.47428,0.65174,1,1,7.55778,9.7765,2.21873
3,651.7289,669.69037,17.96148,2.75597,32.44586,34.10006,1.6542,1,2,7.73563,9.59062,1.85499
4,840.63497,846.01826,5.38329,0.64038,11.46381,11.47995,0.01614,2,2,18.43041,20.86025,2.42984
5,855.14464,845.72556,-9.41908,-1.10146,20.62196,20.32531,-0.29664,2,2,18.43041,20.86025,2.42984
6,533.7448,589.58577,55.84097,10.46211,39.18706,26.14177,-13.04529,2,3,20.49781,21.55621,1.0584
7,666.76399,661.07499,-5.689,-0.85323,46.97241,49.37173,2.39932,2,3,20.49781,21.55621,1.0584
8,826.75097,752.73752,-74.01345,-8.95233,14.13532,14.14242,0.00711,3,3,22.06898,23.73226,1.66327
9,554.71156,593.29829,38.58673,6.95618,40.17134,39.94666,-0.22468,3,3,22.06898,23.73226,1.66327
10,845.873,772.74435,-73.12865,-8.64535,32.01442,30.84006,-1.17436,3,3,24.6609,24.9902,0.3293
11,605.55084,616.06027,10.50943,1.73552,81.8497,84.3033,2.45359,3,3,24.6609,24.9902,0.3293
12,537.23197,511.84556,-25.38641,-4.72541,7.53108,7.24366,-0.28742,3,3,35.6,33.29054,-2.30946
13,549.49967,560.40122,10.90156,1.98391,7.01407,6.58482,-0.42925,3,4,39.7814,41.07372,1.29231
14,598.44756,613.68071,15.23315,2.54544,14.11672,13.82848,-0.28824,3,4,39.7814,41.07372,1.29231
15,763.57773,768.56089,4.98315,0.65261,15.40501,15.83393,0.42891,4,4,26.32413,27.02832,0.70419
16,598.09674,603.37045,5.2737,0.88175,39.1857,40.56061,1.37491,4,4,26.32413,27.02832,0.70419
17,778.23353,793.2149,14.98138,1.92505,52.51225,57.7391,5.22685,3,4,41.83205,42.28404,0.452
18,719.99291,756.60463,36.61172,5.08501,25.48182,25.34471,-0.13711,5,5,33.14453,33.67091,0.52638
19,572.33672,615.37206,43.03534,7.51924,30.26158,32.66854,2.40696,5,5,33.14453,33.67091,0.52638
20,659.00602,652.2081,-6.79792,-1.03154,23.06216,24.21772,1.15556,4,5,56.6618,57.15453,0.49273
21,593.12043,585.59365,-7.52678,-1.26901,53.08971,52.7673,-0.32241,4,5,56.6618,57.15453,0.49273
22,568.31879,634.01967,65.70087,11.56057,20.88771,19.79913,-1.08858,6,6,37.49773,38.38476,0.88703
23,602.95057,630.10527,27.1547,4.50364,23.55922,25.94369,2.38448,6,6,37.49773,38.38476,0.88703
24,498.25432,467.24497,-31.00935,-6.2236,19.62784,16.68903,-2.93882,6,5,38.83092,39.10831,0.2774
25,541.33967,528.69303,-12.64664,-2.33618,11.26669,15.10762,3.84094,5,6,71.51168,72.14735,0.63567
26,605.17342,617.33838,12.16496,2.01016,13.29676,15.42383,2.12706,5,6,71.51168,72.14735,0.63567
27,565.74335,556.55431,-9.18903,-1.62424,26.97328,5.21667,-21.75661,5,5,84.02476,84.38057,0.35581
28,559.26035,538.74727,-20.51308,-3.66789,7.71701,8.52405,0.80703,6,7,43.31282,42.53975,-0.77307
29,629.25288,433.51794,-195.73494,-31.10593,2.16569,2.22426,0.05858,7,7,44.75891,45.12882,0.36991
30,540.9079,593.3853,52.4774,9.70172,17.67681,20.69956,3.02275,7,7,44.75891,45.12882,0.36991
31,531.00633,531.44538,0.43905,0.08268,12.2239,11.91816,-0.30574,7,7,46.93826,46.74035,-0.19791
