Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,1438.20963,1082.07026,-356.13937,-24.76269,10.91831,6.48693,-4.43138,0,0,0.0,0.0,0.0
1,1029.50033,1158.73812,129.23779,12.55345,1.23019,2.89706,1.66687,1,1,8.75176,5.26118,-3.49059
2,1002.8812,887.28959,-115.59161,-11.52595,12.86475,16.07788,3.21313,1,2,9.41653,7.31027,-2.10626
3,1150.6878,899.97585,-250.71195,-21.78801,14.34349,14.65505,0.31156,2,3,17.88798,17.0552,-0.83278
4,743.33218,658.85351,-84.47866,-11.36486,15.67711,14.65369,-1.02343,2,3,17.88798,17.0552,-0.83278
5,917.63967,804.92303,-112.71664,-12.28332,14.48461,14.78793,0.30333,3,4,24.28296,22.78947,-1.49349
6,998.98847,802.31086,-196.67761,-19.68768,36.04594,34.87428,-1.17166,3,4,24.28296,22.78947,-1.49349
7,623.93474,535.9295,-88.00524,-14.10488,20.65373,18.95498,-1.69875,3,4,22.80237,22.71916,-0.08322
8,593.61996,492.44079,-101.17917,-17.04444,62.89848,59.00931,-3.88918,3,4,22.80237,22.71916,-0.08322
9,641.60891,476.80882,-164.80009,-25.68544,29.11167,30.16316,1.05149,4,5,28.0922,26.83282,-1.25938
10,883.059,741.124,-141.935,-16.0731,39.20173,38.52267,-0.67906,4,5,28.0922,26.83282,-1.25938
11,930.84299,670.62555,-260.21744,-27.95503,4.90125,4.48693,-0.41432,4,5,39.32807,38.23506,-1.09301
12,864.58181,699.12581,-165.456,-19.13711,68.42777,68.61008,0.18231,4,5,39.32807,38.23506,-1.09301
13,561.65378,482.00663,-79.64716,-14.18083,9.85998,7.02419,-2.83579,5,6,47.63946,46.44997,-1.18949
14,853.39314,712.66445,-140.72869,-16.49049,20.11067,20.53638,0.42571,5,5,42.48967,41.37439,-1.11528
15,668.50837,574.58468,-93.92369,-14.04974,16.07639,16.53502,0.45863,5,6,64.42489,63.73194,-0.69295
16,709.84158,560.08865,-149.75292,-21.09667,28.07416,26.78764,-1.28652,5,6,64.42489,63.73194,-0.69295
17,717.2825,572.98113,-144.30137,-20.11779,9.98397,10.86805,0.88408,6,6,51.15679,49.30558,-1.85121
18,800.65086,665.24229,-135.40857,-16.91231,26.55641,25.38341,-1.17301,6,6,51.15679,49.30558,-1.85121
19,631.22604,511.21505,-120.011,-19.01236,9.36421,10.14544,0.78123,7,7,58.33243,57.21818,-1.11425
20,605.7603,455.22848,-150.53182,-24.85006,9.27762,3.69706,-5.58056,7,7,58.33243,57.21818,-1.11425
