Match No.,Mean Radius 1 (um),Mean Radius 2 (um),RadiusDiff (um),RadiusDiff (%),Length1 (mm),Length2 (mm),LengthDiff (mm),Level1,Level2,Distance1 (mm),Distance2 (mm),DistanceDiff (mm)
0,883.78454,934.94018,51.15564,5.78825,27.14347,25.44642,-1.69706,0,0,0.0,0.0,0.0
1,946.84362,1058.62786,111.78424,11.80599,1.79241,1.24388,-0.54853,1,1,16.5789,15.43762,-1.14129
2,761.15325,771.96416,10.81091,1.42033,12.41623,13.15445,0.73821,1,1,16.5789,15.43762,-1.14129
3,827.67264,844.38717,16.71453,2.01946,9.11645,9.77428,0.65783,2,2,16.94137,16.20556,-0.73581
4,686.49158,661.2531,-25.23848,-3.67644,25.62215,25.00617,-0.61599,2,2,16.94137,16.20556,-0.73581
5,713.03487,698.08045,-14.95442,-2.09729,5.53799,6.02869,0.4907,2,2,25.9825,25.90791,-0.07458
6,777.62382,784.72563,7.10182,0.91327,8.43505,8.10614,-0.32891,2,2,25.9825,25.90791,-0.07458
7,780.25409,779.53454,-0.71954,-0.09222,12.1956,11.62451,-0.57109,3,3,23.80609,24.14581,0.33972
8,678.29464,670.68831,-7.60633,-1.12139,37.72444,35.91707,-1.80737,3,3,23.80609,24.14581,0.33972
9,634.35589,621.62893,-12.72697,-2.00628,14.6854,15.64322,0.95783,3,3,22.94363,22.8355,-0.10813
10,620.45974,590.64466,-29.81509,-4.80532,32.63123,32.41264,-0.2186,3,3,22.94363,22.8355,-0.10813
11,581.43918,608.85257,27.41339,4.71475,6.65761,6.12405,-0.53356,3,3,26.7219,26.91654,0.19464
12,605.37849,606.0035,0.62501,0.10324,7.08946,6.76814,-0.32132,3,3,26.7219,26.91654,0.19464
13,571.12973,565.33641,-5.79332,-1.01436,39.64031,40.05596,0.41565,3,3,29.69546,30.32524,0.62978
14,661.36089,625.2482,-36.11269,-5.46036,69.7399,71.38549,1.64558,3,3,29.69546,30.32524,0.62978
15,785.79889,739.86301,-45.93589,-5.84576,13.65048,13.93018,0.2797,4,3,29.08299,29.29113,0.20814
16,607.08574,554.88253,-52.20322,-8.59899,38.03962,39.07886,1.03923,4,4,35.1973,34.74435,-0.45295
17,614.63535,646.32395,31.68861,5.15568,58.29011,57.82934,-0.46077,4,4,35.1973,34.74435,-0.45295
18,548.53723,505.15435,-43.38288,-7.90883,14.1863,16.6515,2.4652,3,4,37.54318,37.04241,-0.50077
19,545.67504,490.42592,-55.24912,-10.12491,5.20908,5.60443,0.39535,4,4,26.04823,26.43237,0.38414
20,564.80774,537.03126,-27.77647,-4.91786,23.01874,27.11682,4.09808,4,4,26.04823,26.43237,0.38414
21,692.27106,662.28157,-29.98949,-4.33204,12.7304,13.47598,0.74558,5,4,38.56605,38.51351,-0.05254
22,633.2917,638.29688,5.00518,0.79034,61.74387,61.24024,-0.50363,5,4,38.56605,38.51351,-0.05254
23,531.72476,574.78332,43.05856,8.0979,7.40443,9.67893,2.2745,5,5,50.22649,49.60172,-0.62477
24,604.40809,585.22759,-19.1805,-3.17344,9.11645,11.19389,2.07744,5,5,50.22649,49.60172,-0.62477
25,602.80248,602.62617,-0.17632,-0.02925,44.35255,49.29054,4.93799,6,5,46.2973,46.06637,-0.23093
26,626.12202,596.92043,-29.20159,-4.66388,61.78059,61.79658,0.01599,6,5,46.2973,46.06637,-0.23093
